,Open,High,Low,Close,Volume
2024-01-01 00:00:00,150.0,150.0001682365791,149.99981006525633,150.0,9911190
2024-01-01 00:01:00,149.97306535241054,149.98966738340795,149.9729761648932,149.98963317801227,8276889
2024-01-01 00:02:00,149.98468216733536,150.0386341409456,149.98414807110524,150.03821246191941,2048399
2024-01-01 00:03:00,150.02719615640356,150.15289463952521,150.0257034611995,150.15247780460376,3436634
2024-01-01 00:04:00,150.15035270203086,150.150492222568,150.13474439075148,150.1349104645044,9052670
2024-01-01 00:05:00,150.1350423378286,150.13505111716702,150.11721625150392,150.11734941546476,9031854
2024-01-01 00:06:00,150.1137813765105,150.23735536831876,150.11225180414175,150.23590105416366,3409437
2024-01-01 00:07:00,150.20428016031516,150.29429571901,150.2037630200877,150.29357021541452,7502975
2024-01-01 00:08:00,150.32426283633345,150.32429328411092,150.25809627923508,150.25831477640267,2714591
2024-01-01 00:09:00,150.25552110648437,150.29935118863784,150.25520504836072,150.29910390721685,4974024
2024-01-01 00:10:00,150.27506514726167,150.27523033828243,150.2642322809572,150.26430834106856,6642506
2024-01-01 00:11:00,150.28366352185714,150.28397247988465,150.22919268711115,150.2293501261823,4509573
2024-01-01 00:12:00,150.2295680939353,150.24778791626156,150.22934693617202,150.247561105845,9081309
2024-01-01 00:13:00,150.25854421197914,150.26039550474243,150.1021652892031,150.1038673327894,6040687
2024-01-01 00:14:00,150.11194944972794,150.11298498649194,149.97353695169062,149.974450951534,4032891
2024-01-01 00:15:00,150.00722179225,150.00753479358852,149.9319144418471,149.93233157113215,9333654
2024-01-01 00:16:00,149.92203548788194,149.92231866544932,149.85587965345553,149.85645149339607,1327590
2024-01-01 00:17:00,149.85389815277748,149.880284696111,149.85367978180196,149.88004844985883,8621006
2024-01-01 00:18:00,149.86786584594876,149.8687646599989,149.81180293954228,149.8120550712534,8834864
2024-01-01 00:19:00,149.7809767649071,149.78159869539056,149.70511232885355,149.70632195128144,8592649
2024-01-01 00:20:00,149.70599207543697,149.81709364668848,149.70469802049706,149.81609028902298,5952987
2024-01-01 00:21:00,149.82120890903883,149.82122235173364,149.79904088497312,149.79924076305858,3289955
2024-01-01 00:22:00,149.79517648528633,149.80438703621004,149.79515496485573,149.80436452480566,5892725
2024-01-01 00:23:00,149.81499093507088,149.8150589675159,149.6972151839508,149.69771670027632,3952336
2024-01-01 00:24:00,149.6980079859185,149.69847346643786,149.65682691919082,149.65704214411795,8492963
2024-01-01 00:25:00,149.65202498034907,149.66546031306078,149.651922524414,149.6654171609492,5673109
2024-01-01 00:26:00,149.6453460599736,149.64622224897624,149.57878217624196,149.57936303557722,8678934
2024-01-01 00:27:00,149.57905549207,149.60756410247708,149.57895667281412,149.60754215973,2722844
2024-01-01 00:28:00,149.6118685655868,149.6121299978921,149.5626018516301,149.56269591765061,1159765
2024-01-01 00:29:00,149.57181215350593,149.57202175866743,149.5406959564879,149.5409694295663,2979683
2024-01-01 00:30:00,149.5177102199679,149.51823964761303,149.49575990082928,149.49606927704397,8564523
2024-01-01 00:31:00,149.50106900138243,149.63564058389196,149.50085632504766,149.63461613704402,2071263
2024-01-01 00:32:00,149.65673320915735,149.65673475017718,149.63369562703855,149.63370209633413,8770641
2024-01-01 00:33:00,149.64801149248004,149.6490349392752,149.5541547550692,149.5546662733094,1670038
2024-01-01 00:34:00,149.58943284735454,149.6163281072913,149.58897830877783,149.61627570573816,3791327
2024-01-01 00:35:00,149.5890341685664,149.59013978091818,149.52481820907144,149.5250514180178,3647917
2024-01-01 00:36:00,149.51449833638287,149.5409036945725,149.51441301306406,149.54077426748194,9848574
2024-01-01 00:37:00,149.53905290820643,149.53957227600125,149.39301615925584,149.39435965597445,9191610
2024-01-01 00:38:00,149.3891918163089,149.3904505441612,149.2949058572392,149.29526146626068,3155285
2024-01-01 00:39:00,149.2838125495544,149.31025849697207,149.28366048894705,149.31007316470016,2932108
2024-01-01 00:40:00,149.31108955225034,149.36580981314864,149.31047981380922,149.36532288619748,1964191
2024-01-01 00:41:00,149.36903200270675,149.3783671504609,149.36887202880666,149.37824362958926,7470521
2024-01-01 00:42:00,149.37941053859785,149.37946947505756,149.36971812217277,149.36973146376351,1252572
2024-01-01 00:43:00,149.3536938050977,149.35387118778124,149.3472276079633,149.34737205835285,5697639
2024-01-01 00:44:00,149.34858300482304,149.34950240028752,149.23708198643854,149.23709682343474,7526311
2024-01-01 00:45:00,149.23650145123366,149.23718395446886,149.18324198566535,149.18351743377693,5260012
2024-01-01 00:46:00,149.16256849399548,149.16276319520327,149.14896695258497,149.14929485400916,9643977
2024-01-01 00:47:00,149.12569305236087,149.2287046553315,149.12546250770737,149.22826959969953,6860812
2024-01-01 00:48:00,149.2404591170756,149.25438546664714,149.24041397784467,149.25405166887344,3234487
2024-01-01 00:49:00,149.2502065787479,149.25059715012307,149.1212530519547,149.12262752388233,6525776
2024-01-01 00:50:00,149.12158913153036,149.14700640296635,149.12156302410622,149.1469408028676,1798053
2024-01-01 00:51:00,149.1428582148107,149.1428906837972,149.1180666866133,149.11837604113853,1042369
2024-01-01 00:52:00,149.1181632439528,149.11868386624704,149.06744282684502,149.06806040057637,1596880
2024-01-01 00:53:00,149.07455985409996,149.1138412650502,149.07407934419152,149.11380914331443,6854041
2024-01-01 00:54:00,149.12639195567326,149.1917118993664,149.12556637599982,149.19083835145548,4008374
2024-01-01 00:55:00,149.16723303138488,149.26126082416013,149.16655423903862,149.2604717250617,6537700
2024-01-01 00:56:00,149.26122142606883,149.26204230068797,149.19787761739792,149.198007928533,2507588
2024-01-01 00:57:00,149.18767819290267,149.18792144865503,149.17505374521875,149.17511111303406,2840251
2024-01-01 00:58:00,149.16527988732813,149.20001455701788,149.16494678352439,149.19999232037216,6419285
2024-01-01 00:59:00,149.21541782491764,149.27348644080254,149.2145361146899,149.27294407431876,5253788
2024-01-01 01:00:00,149.26686179733795,149.26730338184848,149.23735502530639,149.23735936308046,8171618
2024-01-01 01:01:00,149.23550455496144,149.2356271859204,149.22352509348113,149.2236878413704,9372755
2024-01-01 01:02:00,149.2205334879379,149.22104119692042,149.1406572133613,149.14132722335367,4560254
2024-01-01 01:03:00,149.1490542609014,149.1502089470414,149.05199263442466,149.05231325724273,4780843
2024-01-01 01:04:00,149.04442539377368,149.1134618349444,149.04435520170884,149.11305850907328,8868606
2024-01-01 01:05:00,149.11510661390312,149.2145652103442,149.11450591640755,149.2143689441928,5525991
2024-01-01 01:06:00,149.2579122867416,149.2579354634455,149.20915727494,149.20919347413567,7568592
2024-01-01 01:07:00,149.207821394399,149.285027356054,149.20710394983988,149.2842616216106,6074376
2024-01-01 01:08:00,149.28450085385407,149.31159143115835,149.2844815662982,149.31145797230735,6308063
2024-01-01 01:09:00,149.3000189104872,149.3001369843883,149.26313157754606,149.26350217777414,1145662
2024-01-01 01:10:00,149.24666432101353,149.29073916799646,149.2465345965451,149.29068277535424,3964758
2024-01-01 01:11:00,149.2988890331734,149.40629756643014,149.29824148017116,149.4057020751014,6287882
2024-01-01 01:12:00,149.43261646797342,149.4326349869767,149.40324076187076,149.40324095508694,3843596
2024-01-01 01:13:00,149.4065077959964,149.52178276293787,149.40608348205794,149.52034054401244,5431569
2024-01-01 01:14:00,149.51366714446948,149.5146366407238,149.32322054360898,149.32470928833231,6640840
2024-01-01 01:15:00,149.31920011088448,149.3868504838075,149.31886165007052,149.38629849646722,3056297
2024-01-01 01:16:00,149.3894925068985,149.39306983308228,149.3894880792342,149.39302742872297,3068671
2024-01-01 01:17:00,149.40133401115943,149.40146834971443,149.37083346343067,149.3709227333527,1751790
2024-01-01 01:18:00,149.36209065790254,149.37804543080372,149.36200959127999,149.37800899453612,8173889
2024-01-01 01:19:00,149.36536512746645,149.36559829909137,149.22929544804379,149.22979551540197,1406138
2024-01-01 01:20:00,149.2436093028558,149.24380862015357,149.21351763812527,149.21364353538664,8209044
