Datetime,Close,High,Low,Open,Volume
,AAPL,AAPL,AAPL,AAPL,AAPL
2025-08-06 13:30:00+00:00,206.5449981689453,206.58999633789062,205.58999633789062,205.60000610351562,3077631
2025-08-06 13:31:00+00:00,207.7292022705078,207.75,206.52999877929688,206.52999877929688,988293
2025-08-06 13:32:00+00:00,208.2698974609375,208.27000427246094,208.08999633789062,208.1580047607422,971527
2025-08-06 13:33:00+00:00,208.0800018310547,208.69630432128906,208.0131072998047,208.24989318847656,627420
2025-08-06 13:34:00+00:00,208.60000610351562,208.64999389648438,207.85499572753906,208.05499267578125,517010
2025-08-06 13:35:00+00:00,208.82000732421875,209.0,208.1999969482422,208.60000610351562,605640
2025-08-06 13:36:00+00:00,208.2700958251953,209.05999755859375,208.25,208.80499267578125,473478
2025-08-06 13:37:00+00:00,208.67999267578125,208.94000244140625,208.26669311523438,208.27999877929688,369769
2025-08-06 13:38:00+00:00,208.60299682617188,208.8800048828125,208.44830322265625,208.6999969482422,457483
2025-08-06 13:40:00+00:00,208.61000061035156,208.8800048828125,208.49000549316406,208.61000061035156,795221
2025-08-06 13:41:00+00:00,208.97000122070312,208.97000122070312,208.5,208.59890747070312,312713
2025-08-06 13:42:00+00:00,209.48500061035156,209.5800018310547,208.9499969482422,208.96539306640625,675194
2025-08-06 13:43:00+00:00,209.69500732421875,209.83999633789062,209.4199981689453,209.47000122070312,571091
2025-08-06 13:44:00+00:00,209.77999877929688,209.8000030517578,209.4199981689453,209.69000244140625,418870
2025-08-06 13:45:00+00:00,209.49969482421875,210.16000366210938,209.4600067138672,209.77499389648438,733815
2025-08-06 13:46:00+00:00,209.87550354003906,209.9199981689453,209.42999267578125,209.47000122070312,348279
2025-08-06 13:47:00+00:00,209.9199981689453,210.1199951171875,209.73500061035156,209.8800048828125,323537
2025-08-06 13:48:00+00:00,209.7050018310547,210.2899932861328,209.66000366210938,209.87139892578125,376025
2025-08-06 13:49:00+00:00,209.97500610351562,210.08999633789062,209.44000244140625,209.67999267578125,328600
2025-08-06 13:50:00+00:00,209.63180541992188,210.0,209.5399932861328,209.97999572753906,236325
2025-08-06 13:51:00+00:00,209.75990295410156,210.25999450683594,209.55999755859375,209.61000061035156,323490
2025-08-06 13:52:00+00:00,209.75,209.82000732421875,209.3300018310547,209.74000549316406,330555
2025-08-06 13:53:00+00:00,210.04449462890625,210.27000427246094,209.75999450683594,209.77000427246094,335078
2025-08-06 13:54:00+00:00,209.94700622558594,210.2799072265625,209.86000061035156,210.02999877929688,286062
